StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,prolificId,correctIntro,trustB,t,answerA1,diffA1,log_diffA1,answerA2,diffA2,log_diffA2,answerA3,diffA3,log_diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"14/11/2021 05:59","14/11/2021 06:10","IP Address","213.120.52.152","100","614","True","14/11/2021 06:10","R_12sXZ3SwvBiMEZy","51.8874054","0.918502808","anonymous","EN",72,"fuel consumption","gps on","wiper on gte 1","h0v0",3,"easy","E","M","H","WHAT_Qn",78.8,77.48,29.47,-1,248,"E","WHAT_Qn_E_E","E_E","5c9cd11c32d8ee00169ba656",false,"4","186.21","28",50.8,5.670302170078526,"81",-3.519999999999996,1.8659188145522108,"23",6.469999999999999,2.72137265947682,"Disagree",1,"3","2","4",0
"14/11/2021 05:59","14/11/2021 06:10","IP Address","213.120.52.152","100","614","True","14/11/2021 06:10","R_12sXZ3SwvBiMEZy","51.8874054","0.918502808","anonymous","EN",47,"suspension force","wiper on","gps on gte 1","h0v0",6,"medium","M","M","H","WHAT_Qn",41.38,36.42,42.93,-1,338,"M","WHAT_Qn_M_M","M_M","5c9cd11c32d8ee00169ba656",false,"2","26.344","100",-58.62,5.876394158783242,"20",16.42,4.048323386537814,"100",-57.07,5.8378171266725465,"Neither agree nor disagree",0,"3","4","1",1
"14/11/2021 05:59","14/11/2021 06:10","IP Address","213.120.52.152","100","614","True","14/11/2021 06:10","R_12sXZ3SwvBiMEZy","51.8874054","0.918502808","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",9,"hard","H","H","H","WHAT_Qn",52.46,56.78,16.75,-1,431,"H","WHAT_Qn_H_H","H_H","5c9cd11c32d8ee00169ba656",false,"2","20.023","25",27.46,4.785812075358369,"85",-28.22,4.825022364044702,"24",-7.25,2.882643049361841,"Agree",0,"3","1","4",2
"14/11/2021 05:59","14/11/2021 06:10","IP Address","213.120.52.152","100","614","True","14/11/2021 06:10","R_12sXZ3SwvBiMEZy","51.8874054","0.918502808","anonymous","EN",63,"engine temperature","gps on","wiper on gte 1","h0v0",3,"easy","E","E","M","WHAT_Ql",34.04,84.16,34.04,1,271,"E","WHAT_Ql_E_E","E_E","5c9cd11c32d8ee00169ba656",false,"3","25.742","37",-2.960000000000001,1.6252704893746936,"100",-15.840000000000003,3.996840647795369,"34",0.03999999999999915,-2.5994620704162785,"Agree",1,"3","1","5",3
"14/11/2021 05:59","14/11/2021 06:10","IP Address","213.120.52.152","100","614","True","14/11/2021 06:10","R_12sXZ3SwvBiMEZy","51.8874054","0.918502808","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",3,"easy","M","M","M","WHAT_Ql",1.77,15.58,18.14,1,355,"M","WHAT_Ql_M_E","M_E","5c9cd11c32d8ee00169ba656",false,"2","19.787","39",-37.23,5.223229456842112,"10",5.58,2.512226886513957,"68",-49.86,5.643423316328194,"Disagree",0,"1","2","4",4
"14/11/2021 05:59","14/11/2021 06:10","IP Address","213.120.52.152","100","614","True","14/11/2021 06:10","R_12sXZ3SwvBiMEZy","51.8874054","0.918502808","anonymous","EN",20,"electricity consumption","radio on","wiper on gte 1","h0v0",6,"medium","M","H","H","WHAT_Ql",20.89,65.7,26.15,1,446,"H","WHAT_Ql_H_M","H_M","5c9cd11c32d8ee00169ba656",false,"3","22.294","20",0.8900000000000006,0.02147972741045234,"11",54.7,5.776762001786231,"51",-24.85,4.642412772905056,"Neither agree nor disagree",0,"2","4","2",5
"14/11/2021 05:59","14/11/2021 06:10","IP Address","213.120.52.152","100","614","True","14/11/2021 06:10","R_12sXZ3SwvBiMEZy","51.8874054","0.918502808","anonymous","EN",14,"engine temperature","gps on","wiper on gte 1","h0v0",9,"hard","M","M","E","WHERE",21.72,20.1,20.05,1,319,"E","WHERE_E_H","E_H","5c9cd11c32d8ee00169ba656",false,"3","21.932","69",-47.28,5.566967329006121,"22",-1.8999999999999986,1.0179219079972615,"100",-79.95,6.323279987887322,"Neither agree nor disagree",0,"3","5","2",6
"14/11/2021 05:59","14/11/2021 06:10","IP Address","213.120.52.152","100","614","True","14/11/2021 06:10","R_12sXZ3SwvBiMEZy","51.8874054","0.918502808","anonymous","EN",22,"electricity consumption","radio on","wiper on gte 1","h0v0",6,"medium","M","H","M","WHERE",31.1,34.01,42.03,-1,392,"M","WHERE_M_M","M_M","5c9cd11c32d8ee00169ba656",false,"1","25.13","19",12.100000000000001,3.6117625600648715,"65",-30.990000000000002,4.9595383411126495,"13",29.03,4.865671417648427,"Disagree",1,"2","4","2",7
"14/11/2021 05:59","14/11/2021 06:10","IP Address","213.120.52.152","100","614","True","14/11/2021 06:10","R_12sXZ3SwvBiMEZy","51.8874054","0.918502808","anonymous","EN",20,"electricity consumption","radio on","wiper on gte 1","h0v0",8,"hard","M","H","H","WHERE",42.81,44.37,21.9,1,482,"H","WHERE_H_H","H_H","5c9cd11c32d8ee00169ba656",false,"4","21.993","78",-35.19,5.142209191389236,"12",32.37,5.0221458428701755,"34",-12.100000000000001,3.6117625600648715,"Agree",1,"0","3","2",8
"14/11/2021 05:51","14/11/2021 06:15","IP Address","41.10.146.55","100","1413","True","14/11/2021 06:15","R_2pSovdVDuY99HKY","-33.91400146","18.41290283","anonymous","EN",63,"engine temperature","gps on","wiper on gte 1","h0v0",6,"medium","E","E","M","WHAT_Qn",15.46,15.52,27.54,1,253,"E","WHAT_Qn_E_M","E_M","60365639219b964d424581d6",false,"5","131.813","21",-5.539999999999999,2.5020759560457906,"15",0.5199999999999996,-0.6326289343514715,"26",1.5399999999999991,0.7355221772965367,"Agree",1,"4","3","3",9
