StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"14/11/2021 16:44","14/11/2021 16:57","IP Address","90.255.120.156","100","743","True","14/11/2021 16:57","R_3mb1YLlUzpSou3o","53.58659363","-2.435394287","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",3,"easy","H","M","H","WHAT_Qn",52.06,56.78,19.63,1,246,"H","WHAT_Qn_H_E","H_E","5","44.955","55",-2.9399999999999977,"60",-3.219999999999999,"20",-0.370000000000001,"Neither agree nor disagree",0,"5","5","5",0
"14/11/2021 16:44","14/11/2021 16:57","IP Address","90.255.120.156","100","743","True","14/11/2021 16:57","R_3mb1YLlUzpSou3o","53.58659363","-2.435394287","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",3,"easy","M","E","M","WHAT_Qn",63.33,64.01,11.04,1,325,"M","WHAT_Qn_M_E","M_E","5","55.353","65",-1.6700000000000017,"70",-5.989999999999995,"10",1.0399999999999991,"Disagree",0,"5","2","5",1
"14/11/2021 16:44","14/11/2021 16:57","IP Address","90.255.120.156","100","743","True","14/11/2021 16:57","R_3mb1YLlUzpSou3o","53.58659363","-2.435394287","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",5,"medium","E","M","E","WHAT_Qn",43.35,42.6,13.03,-1,408,"E","WHAT_Qn_E_M","E_M","5","57.128","51",-7.649999999999999,"44",-1.3999999999999986,"11",2.0299999999999994,"Disagree",1,"5","5","5",2
"14/11/2021 16:44","14/11/2021 16:57","IP Address","90.255.120.156","100","743","True","14/11/2021 16:57","R_3mb1YLlUzpSou3o","53.58659363","-2.435394287","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",3,"easy","E","E","E","WHAT_Ql",27.33,78.73,27.33,1,273,"E","WHAT_Ql_E_E","E_E","5","53.544","29",-1.6700000000000017,"29",49.730000000000004,"29",-1.6700000000000017,"Agree",1,"5","5","5",3
"14/11/2021 16:44","14/11/2021 16:57","IP Address","90.255.120.156","100","743","True","14/11/2021 16:57","R_3mb1YLlUzpSou3o","53.58659363","-2.435394287","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",3,"easy","M","M","M","WHAT_Ql",2.56,15.58,16.37,1,354,"M","WHAT_Ql_M_E","M_E","5","81.111","2",0.56,"15",0.5800000000000001,"15",1.370000000000001,"Agree",1,"5","3","5",4
"14/11/2021 16:44","14/11/2021 16:57","IP Address","90.255.120.156","100","743","True","14/11/2021 16:57","R_3mb1YLlUzpSou3o","53.58659363","-2.435394287","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",8,"hard","M","M","M","WHAT_Ql",5.71,15.58,33.33,1,459,"M","WHAT_Ql_M_H","M_H","2","69.805","5",0.71,"15",0.5800000000000001,"28",5.329999999999998,"Disagree",0,"5","5","5",5
"14/11/2021 16:44","14/11/2021 16:57","IP Address","90.255.120.156","100","743","True","14/11/2021 16:57","R_3mb1YLlUzpSou3o","53.58659363","-2.435394287","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",6,"medium","H","M","H","WHERE",27.96,25.28,25.19,-1,310,"H","WHERE_H_M","H_M","5","61.342","43",-15.04,"29",-3.719999999999999,"29",-3.8099999999999987,"Neither agree nor disagree",0,"4","3","4",6
"14/11/2021 17:20","14/11/2021 17:45","IP Address","41.10.39.198","100","1499","True","14/11/2021 17:45","R_2t8R5KRgqgOEQie","-34.04859924","18.48109436","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",9,"hard","E","E","E","WHAT_Qn",27.13,34.69,24.33,-1,270,"E","WHAT_Qn_E_H","E_H","5","92.811","27",0.129999999999999,"40",-5.310000000000002,"35",-10.670000000000002,"Agree",0,"3","4","4",7
"14/11/2021 17:20","14/11/2021 17:45","IP Address","41.10.39.198","100","1499","True","14/11/2021 17:45","R_2t8R5KRgqgOEQie","-34.04859924","18.48109436","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",3,"easy","H","M","E","WHAT_Qn",68.95,76.69,9.8,-1,327,"H","WHAT_Qn_H_E","H_E","5","147.75","17",51.95,"75",1.6899999999999977,"11",-1.1999999999999993,"Disagree",1,"1","5","4",8
"14/11/2021 17:20","14/11/2021 17:45","IP Address","41.10.39.198","100","1499","True","14/11/2021 17:45","R_2t8R5KRgqgOEQie","-34.04859924","18.48109436","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",8,"hard","M","M","M","WHAT_Qn",71.72,64.01,22.38,1,418,"M","WHAT_Qn_M_H","M_H","5","127.683","17",54.72,"25",39.010000000000005,"33",-10.620000000000001,"Disagree",0,"3","4","4",9
